Index,TauxCompression
0,nan
1,nan
2,nan
3,nan
4,0.333333
5,0.000000
6,0.428571
7,0.285714
8,0.533333
9,0.571429
10,0.666667
11,0.533333
12,0.333333
13,0.333333
14,0.333333
15,0.333333
16,0.709677
17,0.580645
18,0.741935
19,0.548387
20,0.677419
21,0.451613
22,0.548387
23,0.580645
24,0.516129
25,0.516129
26,0.483871
27,0.419355
28,0.290323
29,0.419355
30,0.258065
31,0.258065
32,0.354839
33,0.603175
34,0.730159
35,0.354839
36,0.555556
37,0.619048
38,0.587302
39,0.571429
40,0.619048
41,0.650794
42,0.539683
43,0.539683
44,0.539683
45,0.444444
46,0.476190
47,0.492063
48,0.460317
49,0.523810
50,0.428571
51,0.476190
52,0.380952
53,0.476190
54,0.428571
55,0.412698
56,0.333333
57,0.412698
58,0.460317
59,0.365079
60,0.428571
61,0.253968
62,0.285714
63,0.333333
64,0.629921
65,0.716535
66,0.606299
67,0.637795
68,0.645669
69,0.629921
70,0.661417
71,0.653543
72,0.598425
73,0.716535
74,0.614173
75,0.590551
76,0.637795
77,0.614173
78,0.566929
79,0.574803
80,0.574803
81,0.614173
82,0.543307
83,0.574803
84,0.535433
85,0.598425
86,0.535433
87,0.551181
88,0.496063
89,0.551181
90,0.488189
91,0.480315
92,0.511811
93,0.448819
94,0.574803
95,0.566929
96,0.488189
97,0.440945
98,0.559055
99,0.496063
100,0.433071
101,0.535433
102,0.385827
103,0.472441
104,0.417323
105,0.472441
106,0.417323
107,0.480315
108,0.354331
109,0.417323
110,0.393701
111,0.472441
112,0.456693
113,0.401575
114,0.385827
115,0.385827
116,0.346457
117,0.456693
118,0.299213
119,0.291339
120,0.299213
121,0.307087
122,0.291339
123,0.314961
124,0.362205
125,0.362205
126,0.385827
127,0.448819
128,0.658824
129,0.650980
130,0.650980
131,0.670588
132,0.658824
133,0.658824
134,0.647059
135,0.611765
136,0.619608
137,0.619608
138,0.650980
139,0.674510
140,0.658824
141,0.654902
142,0.654902
143,0.607843
144,0.670588
145,0.607843
146,0.674510
147,0.611765
148,0.623529
149,0.541176
150,0.603922
151,0.607843
152,0.584314
153,0.611765
154,0.568627
155,0.541176
156,0.588235
157,0.603922
158,0.584314
159,0.603922
160,0.556863
161,0.596078
162,0.560784
163,0.639216
164,0.560784
165,0.549020
166,0.607843
167,0.521569
168,0.560784
169,0.517647
170,0.517647
171,0.517647
172,0.521569
173,0.549020
174,0.564706
175,0.537255
176,0.564706
177,0.533333
178,0.549020
179,0.505882
180,0.466667
181,0.560784
182,0.564706
183,0.513725
184,0.482353
185,0.517647
186,0.443137
187,0.486275
188,0.458824
189,0.529412
190,0.501961
191,0.474510
192,0.513725
193,0.513725
194,0.501961
195,0.450980
196,0.458824
197,0.501961
198,0.403922
199,0.541176
200,0.474510
201,0.509804
202,0.466667
203,0.498039
204,0.431373
205,0.486275
206,0.427451
207,0.462745
208,0.474510
209,0.443137
210,0.450980
211,0.454902
212,0.466667
213,0.411765
214,0.415686
215,0.427451
216,0.431373
217,0.458824
218,0.364706
219,0.435294
220,0.423529
221,0.435294
222,0.376471
223,0.411765
224,0.458824
225,0.486275
226,0.400000
227,0.419608
228,0.384314
229,0.372549
230,0.396078
231,0.349020
232,0.368627
233,0.364706
234,0.419608
235,0.368627
236,0.380392
237,0.411765
238,0.423529
239,0.352941
240,0.372549
241,0.317647
242,0.329412
243,0.392157
244,0.282353
245,0.345098
246,0.341176
247,0.360784
248,0.325490
249,0.329412
250,0.329412
251,0.286275
252,0.349020
253,0.364706
254,0.325490
255,0.341176
